adres,aanvraag_publ,besluit_publ,besluit,dagen
jacob van lennepstraat 65-1 1053he amsterdam,2026-04-23,2026-04-23,verleend,0
singel 447d 1012wp amsterdam,2026-04-23,2026-04-23,verleend,0
eerste tuindwarsstraat 7a 1015rt amsterdam,2026-04-28,2026-04-28,verleend,0
vierwindenstraat 80 1013la amsterdam,2026-04-28,2026-04-28,verleend,0
prinsengracht 1083f 1017jh amsterdam,2026-04-28,2026-04-28,verleend,0
van breestraat 183d 1071zn amsterdam,2026-04-30,2026-05-11,verleend,11
keizersgracht 257c 1016ec amsterdam,2026-04-30,2026-04-30,verleend,0
weesperzijde 1068 1091el amsterdam,2026-04-30,2026-06-03,verleend,34
westerdoksdijk 331 1013ad amsterdam,2026-04-30,2026-04-30,verleend,0
bloemstraat 31a 1016kv amsterdam,2026-05-04,2026-06-10,verleend,37
amstelkade 169a-1 1078az amsterdam,2026-05-05,2026-05-12,verleend,7
pieter cornelisz. hooftstraat 196 1071ch amsterdam,2026-05-05,2026-05-05,verleend,0
vijzelgracht 27d 1017hn amsterdam,2026-05-06,2026-05-06,verleend,0
kerkstraat 322b 1017hc amsterdam,2026-05-11,2026-05-11,verleend,0
prinsengracht 301e 1016gx amsterdam,2026-05-11,2026-05-11,verleend,0
veembroederhof 168 1019hc amsterdam,2026-05-11,2026-06-04,verleend,24
beulingstraat 6e 1017ba amsterdam,2026-05-11,2026-05-11,verleend,0
cruquiuskade 185 1018am amsterdam,2026-05-11,2026-05-11,verleend,0
blauwvoetstraat 11 1061bm amsterdam,2026-05-11,2026-05-11,verleend,0
bankastraat 49-h 1094ec amsterdam,2026-05-11,2026-06-24,verleend,44
herengracht 191a 1016be amsterdam,2026-05-11,2026-05-13,verleend,2
oude braak 25g 1012ps amsterdam,2026-05-11,2026-05-11,verleend,0
hemonystraat 25-1 1074bm amsterdam,2026-05-12,2026-05-19,verleend,7
nicolaas maesstraat 55-2 1071pp amsterdam,2026-05-12,2026-05-15,verleend,3
tweede jan steenstraat 76-2 1074cr amsterdam,2026-05-12,2026-05-15,verleend,3
poeldijkstraat 331 1059vl amsterdam,2026-05-12,2026-05-19,verleend,7
eerste jan steenstraat 96-1 1072np amsterdam,2026-05-12,2026-06-04,verleend,23
van ostadestraat 52-2 1072ta amsterdam,2026-05-12,2026-05-15,verleend,3
eerste jacob van campenstraat 46-1 1072bg amsterdam,2026-05-12,2026-05-15,verleend,3
insulindeweg 936 1095dx amsterdam,2026-05-12,2026-05-18,verleend,6
amstel 296f 1017an amsterdam,2026-05-13,2026-05-13,verleend,0
